"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P7,P6";"Pin_Header_Straight_1x02";2;"CONN_01X02";;;
2;"P2,P3,P5,P1";"1x2-SCREW-TERM_P7.5mm";4;"CONN_01X02";;;
3;"330u1";"SELF-WE-PD-XXL";1;"INDUCTOR_SMALL";;;
4;"C1,C8,C9,C37,C38";"R_0805_HandSoldering";5;".1U";;;
5;"C2";"C_Radial_D10_L16_P5";1;"1000u";;;
6;"C3,C4";"C_Radial_D10_L16_P5";2;"1000U";;;
7;"C5,C6,C13,C14";"C_Radial_D8_L11.5_P3.5";4;"220U";;;
8;"C7,C19";"C_0805_HandSoldering";2;"C";;;
9;"C10,C22,C23,C24,C25,C26,C29,C30";"C_1206_HandSoldering";8;"22U";;;
10;"C11,C12,C39,C40";"C_0805_HandSoldering";4;".1U";;;
11;"C15,C28,C35";"C_0805_HandSoldering";3;".01u";;;
12;"C16,C18";"C_0805_HandSoldering";2;"22u";;;
13;"C17,C27,C31";"C_0805_HandSoldering";3;".1u";;;
14;"C20,C21";"C_Radial_D8_L11.5_P3.5";2;"CP";;;
15;"C32,C33,C36";"C_0805_HandSoldering";3;".01U";;;
16;"C34";"C_0805_HandSoldering";1;"1u";;;
17;"D1,D2,D3,D4";"Diode-SMA_Handsoldering";4;"MBRA340T3G";;;
18;"L2";"self_cms_we-tpc_XL";1;"22U";;;
19;"P4";"USB_A";1;"USB_A";;;
20;"P9";"Pin_Header_Straight_2x03";1;"CONN_02X03";;;
21;"P10";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
22;"Q1,Q2,Q5,Q7";"DPAK-2";4;"IRF3704Z";;;
23;"Q3,Q6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"FDS4465";;;
24;"Q4,Q8";"sc70";2;"PN2222A";;;
25;"R1";"R_0805_HandSoldering";1;"330K";;;
26;"R2,R11,R16,R17,R18,R19,R20,R21,R22,R25,R30,R34,R35";"R_0805_HandSoldering";13;"10k";;;
27;"R3";"R_0805_HandSoldering";1;"42.9k";;;
28;"R4";"R_0805_HandSoldering";1;"74.4k";;;
29;"R5";"R_0805_HandSoldering";1;"1K";;;
30;"R6";"R_0805_HandSoldering";1;"180k";;;
31;"R7,R8";"R_0805_HandSoldering";2;"49.3k";;;
32;"R9";"R_0805_HandSoldering";1;"16k";;;
33;"R10";"R_0805_HandSoldering";1;"330k";;;
34;"R12";"R_0805_HandSoldering";1;"1k";;;
35;"R13";"R_0805_HandSoldering";1;"50m";;;
36;"R14,R15";"R_0805_HandSoldering";2;"2.2k";;;
37;"R23,R24";"R_0805_HandSoldering";2;"2.7k";;;
38;"R26,R27";"R_0805_HandSoldering";2;"12k";;;
39;"R28,R29";"R_0805_HandSoldering";2;"47k";;;
40;"R31,R32";"R_0805_HandSoldering";2;"4.7k";;;
41;"R33";"R_0805_HandSoldering";1;"3.3k";;;
42;"ROT1";"SF-ROTARY-ENCODER";1;"ROTARY-ENCODER";;;
43;"RV1,RV4,RV6";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";3;"POT";;;
44;"RV2,RV3,RV5";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";3;"1k";;;
45;"SW1";"SPDT_Toggle";1;"SW_SPDT";;;
46;"U1";"SOIC-8-N";1;"IR2104";;;
47;"U2";"DPAK-5";1;"MCP1827";;;
48;"U3";"ESP8266_ADAFRUIT_SMD";1;"ESP8266";;;
49;"U4";"SOIC-8-N";1;"MAX771";;;
50;"U5,U10,U13";"DIP-4_W7.62mm";3;"LTV-817";;;
51;"U6";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"LMV324";;;
52;"U7";"DPAK-5";1;"LT1963";;;
53;"U8";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"MAX1811";;;
54;"U9";"SOIC8";1;"TL072";;;
55;"U11";"SOIC-8-N";1;"DS75";;;
56;"U12";"Teensy_3.1";1;"Teensy_3.1";;;
57;"P8";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
58;"U14,U15";"SOIC-16_7.5x10.3mm_Pitch1.27mm";2;"ACS710";;;
59;"Q9,Q10,Q11,Q12";"SOT23";4;"PNP_BEC";;;
60;"REF**,REF**,REF**,REF**";"MountingHole_3-7mm";4;"MountingHole_3-7mm";;;
